id,idf
149,3.468986976
150,3.645078235
151,3.94610823
152,3.645078235
153,3.247138226
154,3.94610823
155,3.94610823
156,3.94610823
157,3.645078235
158,3.94610823
159,3.94610823
160,3.94610823
161,3.94610823
162,3.468986976
163,3.247138226
164,3.94610823
165,3.94610823
166,3.645078235
167,3.94610823
168,2.054013628
169,3.94610823
170,3.16795698
171,2.741988248
172,3.645078235
173,3.94610823
174,3.16795698
175,3.468986976
176,3.94610823
177,3.94610823
178,3.94610823
179,1.755776532
180,1.799980195
181,3.94610823
182,3.94610823
183,3.645078235
184,3.645078235
185,3.645078235
186,3.94610823
187,1.623888936
188,3.94610823
189,3.94610823
190,3.468986976
191,2.770016971
192,3.645078235
193,3.94610823
194,3.94610823
195,3.247138226
196,3.94610823
197,3.468986976
198,3.94610823
199,3.10101019
200,3.645078235
201,3.10101019
202,3.94610823
203,3.645078235
204,3.645078235
205,3.94610823
206,3.94610823
207,3.94610823
208,3.94610823
209,3.94610823
210,3.645078235
211,3.468986976
212,3.94610823
213,3.645078235
214,3.645078235
215,3.94610823
216,3.247138226
217,2.205745541
218,3.468986976
219,3.94610823
220,3.94610823
221,3.94610823
222,3.468986976
223,3.645078235
224,3.94610823
225,3.043018243
226,3.94610823
227,3.94610823
228,3.468986976
229,3.94610823
230,3.94610823
231,2.799980195
232,3.94610823
233,3.645078235
234,2.037623212
235,3.344048239
236,3.645078235
237,3.94610823
238,3.645078235
239,3.94610823
240,3.94610823
241,3.94610823
242,3.94610823
243,3.94610823
244,3.043018243
245,3.94610823
246,2.247138226
247,2.645078235
248,3.94610823
249,3.247138226
250,2.355043623
251,2.065294638
252,2.904715545
253,3.94610823
254,3.94610823
255,3.645078235
256,3.94610823
257,3.645078235
258,2.623888936
259,3.94610823
260,3.94610823
261,3.468986976
262,3.94610823
263,2.904715545
264,3.247138226
265,3.94610823
266,3.94610823
267,3.247138226
268,2.10101019
269,3.468986976
270,3.645078235
271,3.645078235
272,3.94610823
273,3.94610823
274,3.645078235
275,3.468986976
276,3.94610823
277,3.94610823
278,2.483710233
279,3.94610823
280,3.94610823
281,3.94610823
282,3.94610823
283,2.94610823
284,3.94610823
285,3.94610823
286,3.94610823
287,3.94610823
288,3.94610823
289,3.247138226
290,3.94610823
291,3.94610823
292,3.94610823
293,3.16795698
294,3.94610823
295,2.001625558
296,3.94610823
297,3.10101019
298,3.94610823
299,3.94610823
300,3.94610823
301,3.94610823
302,3.94610823
303,3.94610823
304,3.94610823
305,3.94610823
306,3.94610823
307,3.94610823
308,3.645078235
309,3.94610823
310,3.043018243
311,3.94610823
312,3.94610823
